property_id,city,district,property_type,built_up_area_sqft,price_inr,price_per_sqft_inr,bedrooms,bathrooms,age_years,facing,amenities,amenities_count,walkability_score,monthly_rental_estimate_inr,annual_rental_yield_pct,price_category,estimated_roi_5yr_pct,listing_date,days_on_market,status,registration_days,is_gated_community,has_maintenance_fee,monthly_maintenance_inr
PROP00043,Hyderabad,Jubilee Hills,Penthouse,3560,12000000,3370,4,3,7,North-East,Pool; Library; Elevator; AC; Playground; Gym; Garden; Security,8,6,30919,3.09,Premium,40.46,2026-03-18,75,Available,140,True,False,24000
PROP00044,Bangalore,Koramangala,Apartment,2896,30000000,10359,4,2,15,North,Parking; Garden; Concierge; Playground; Elevator; AC; Library,7,5,98262,3.93,Luxury,44.65,2025-07-24,227,Sold,48,False,False,0
PROP00045,Chennai,Besant Nagar,Studio,404,10000000,24752,0,2,27,North-East,Pool; Garden; Library; Security; Parking; Concierge,6,4,29920,3.59,Premium,42.95,2024-07-09,352,Available,174,True,False,0
PROP00046,Bangalore,Marathahalli,Independent House,2397,30000000,12515,3,2,21,East,Parking; Pool; Gym; Elevator; Garden; Concierge; Library; Playground,8,5,89755,3.59,Luxury,42.95,2025-03-15,188,Available,168,False,True,0
PROP00047,Pune,Magarpatta,Independent House,4794,15000000,3128,2,2,30,South-East,Parking; Garden; Library,3,7,47364,3.79,Premium,43.95,2025-08-17,345,Available,124,False,False,0
PROP00048,Mumbai,Navi Mumbai,Villa,5862,50000000,8529,3,2,29,East,Garden; Pool; Concierge; Playground; Parking; Elevator; Gym,7,5,128101,3.07,Luxury,40.37,2024-12-26,70,Available,167,False,False,0
PROP00049,Chennai,T Nagar,Penthouse,6433,10000000,1554,6,3,28,West,Pool; Concierge; Library; Parking; Gym; AC,6,9,40842,4.9,Premium,49.51,2025-05-08,279,Available,124,False,True,0
PROP00050,Delhi,Gurgaon,Apartment,2262,40000000,17683,1,1,20,West,Elevator; Gym; AC; Library; Parking; Pool; Security; Playground,8,10,151010,4.53,Luxury,47.65,2025-10-14,169,Available,89,True,True,0
PROP00051,Bangalore,Koramangala,Penthouse,5053,30000000,5937,4,2,21,West,Parking; Gym; Playground,3,9,75789,3.03,Luxury,40.16,2025-08-16,270,Available,137,True,True,0
PROP00052,Pune,Magarpatta,Penthouse,7863,15000000,1907,4,3,16,North,Elevator; Gym; Security; Garden,4,4,49474,3.96,Premium,44.79,2025-03-29,365,Available,155,False,True,30000
PROP00053,Delhi,Rohini,Villa,2538,40000000,15760,4,3,19,South-West,Elevator; AC; Playground; Garden; Security; Concierge; Parking; Pool,8,10,146785,4.4,Luxury,47.02,2024-07-13,111,Sold,171,False,False,80000
PROP00054,Pune,Magarpatta,Studio,454,15000000,33039,1,1,10,South,Playground; Security; Elevator; Pool; Concierge; Garden,6,9,39634,3.17,Premium,40.85,2025-02-26,67,Available,125,True,False,30000
PROP00055,Pune,Magarpatta,Studio,276,15000000,54347,1,2,11,East,Elevator; AC; Garden,3,8,43106,3.45,Premium,42.24,2026-01-24,59,Available,124,False,True,0
PROP00056,Hyderabad,Kondapur,Penthouse,8529,12000000,1406,6,3,19,North,Security; Gym; Parking; Concierge; Playground; Library; Elevator; Pool,8,5,32865,3.29,Premium,41.43,2024-07-10,47,Available,37,True,False,0
PROP00057,Pune,Magarpatta,Villa,5031,15000000,2981,5,3,24,South,Elevator; Pool; Gym; AC; Library; Security; Concierge,7,7,54048,4.32,Premium,46.62,2025-01-02,111,Sold,99,True,False,0
PROP00058,Mumbai,Andheri,Penthouse,6986,50000000,7157,6,4,1,North-East,Library; Gym; AC; Pool,4,4,188945,4.53,Luxury,47.67,2025-08-26,255,Available,31,False,True,100000
PROP00059,Pune,Camp,Villa,6098,15000000,2459,5,2,12,South-West,Gym; Library; Elevator; Garden; Concierge; Parking; AC; Security,8,6,47942,3.84,Premium,44.18,2026-01-17,317,Available,73,False,False,30000
PROP00060,Pune,Baner,Villa,5569,15000000,2693,6,3,12,South,Playground; Garden; Elevator; Library; Pool,5,10,40350,3.23,Premium,41.14,2024-12-08,180,Available,119,True,True,30000
PROP00061,Bangalore,Indiranagar,Villa,3421,30000000,8769,4,2,5,South-East,Concierge; Elevator; AC; Playground; Security; Library; Parking; Garden,8,10,78414,3.14,Luxury,40.68,2025-02-16,303,Sold,100,True,False,60000
PROP00062,Delhi,Dwarka,Studio,269,26688946,99215,0,2,26,North,Pool; Elevator; Library; Garden; Security,5,8,102744,4.62,Luxury,48.1,2024-07-16,257,Available,151,True,True,0
PROP00063,Mumbai,Andheri,Apartment,2466,50000000,20275,2,1,7,South-East,Concierge; Elevator; Parking; AC; Library; Playground; Garden; Pool,8,4,129363,3.1,Luxury,40.52,2024-08-06,49,Sold,114,False,False,0
PROP00064,Chennai,T Nagar,Penthouse,4231,10000000,2363,5,2,18,South,Parking; Playground; Security; AC; Library; Garden; Pool; Elevator,8,9,31277,3.75,Premium,43.77,2025-06-12,48,Sold,164,False,False,20000
PROP00065,Delhi,Noida,Villa,3754,40000000,10655,5,3,6,South,Parking; Elevator; Pool; AC,4,6,135984,4.08,Luxury,45.4,2024-11-21,306,Available,63,False,True,80000
PROP00066,Bangalore,HSR Layout,Penthouse,9627,30000000,3116,4,3,1,West,Playground; Garden; Concierge; Security; Parking; AC,6,5,90473,3.62,Luxury,43.09,2025-01-19,348,Rented,124,False,False,0
PROP00067,Pune,Camp,Penthouse,6429,15000000,2333,4,2,25,South,Parking; Security; Gym; Playground; Garden; Elevator; Concierge,7,8,56577,4.53,Premium,47.63,2025-08-08,224,Available,67,True,True,0
PROP00068,Delhi,South Delhi,Studio,277,33263634,120085,1,2,7,South-East,Pool; Playground; Garden; Gym; Parking; Library,6,7,90787,3.28,Luxury,41.38,2025-07-25,362,Rented,65,False,False,66527
PROP00069,Mumbai,South Mumbai,Independent House,2383,50000000,20981,3,2,3,South-West,Garden; Security; Pool; Gym; Concierge,5,7,176900,4.25,Luxury,46.23,2026-03-11,9,Available,167,True,True,0
PROP00070,Pune,Baner,Penthouse,5890,15000000,2546,4,3,5,North-West,Pool; AC; Playground; Gym; Security; Concierge; Library; Elevator,8,4,47172,3.77,Premium,43.87,2025-04-27,35,Available,121,False,True,30000
PROP00071,Hyderabad,Gachibowli,Independent House,2046,12000000,5865,2,2,17,East,Parking; Concierge; AC; Playground; Pool,5,5,45523,4.55,Premium,47.76,2025-01-31,103,Available,41,True,False,0
PROP00072,Hyderabad,Banjara Hills,Penthouse,6878,12000000,1744,5,2,24,South-East,Garden; Security; Playground; Library; Gym; Parking; AC; Concierge,8,7,38000,3.8,Premium,44.0,2025-02-18,96,Rented,116,False,False,0
PROP00073,Hyderabad,HITEC City,Apartment,2138,12000000,5612,1,2,19,South,AC; Security; Playground; Gym,4,7,35912,3.59,Premium,42.96,2025-02-12,354,Sold,72,False,False,0
PROP00074,Mumbai,Navi Mumbai,Independent House,4018,50000000,12444,5,3,20,East,Pool; Library; Playground,3,7,136898,3.29,Luxury,41.43,2024-08-30,65,Sold,38,True,True,0
PROP00075,Delhi,Dwarka,Penthouse,3265,40000000,12251,6,3,21,East,Playground; Elevator; Concierge; Library; Gym; Security,6,4,126535,3.8,Luxury,43.98,2024-07-18,96,Available,36,False,False,80000
PROP00076,Delhi,Noida,Studio,359,40000000,111420,1,2,6,East,Parking; Pool; Concierge,3,10,129674,3.89,Luxury,44.45,2026-02-14,342,Sold,111,False,True,0
PROP00077,Delhi,Gurgaon,Villa,4961,40000000,8062,4,2,6,South-East,Garden; Concierge; Gym; Parking,4,4,165534,4.97,Luxury,49.83,2026-01-02,159,Sold,46,False,False,0
PROP00078,Pune,Camp,Apartment,913,15000000,16429,3,1,14,East,AC; Playground; Parking; Library; Security; Elevator,6,4,40725,3.26,Premium,41.29,2024-12-16,266,Rented,61,True,False,30000
PROP00079,Bangalore,Indiranagar,Villa,4834,30000000,6206,5,2,8,North-East,AC; Security; Parking; Playground,4,8,79671,3.19,Luxury,40.93,2024-07-27,88,Available,69,False,True,60000
PROP00080,Mumbai,South Mumbai,Penthouse,5168,50000000,9674,6,3,24,North-West,Library; Gym; Concierge; Playground; Security; Parking; Elevator,7,4,192279,4.61,Luxury,48.07,2025-03-25,81,Available,45,False,False,0
PROP00081,Pune,Hinjewadi,Independent House,3984,15000000,3765,3,2,27,West,Playground; Elevator; Library; Pool; Parking; Security; Gym; Concierge,8,4,44186,3.53,Premium,42.67,2025-09-03,197,Available,104,False,True,30000
PROP00082,Delhi,Rohini,Independent House,2277,40000000,17566,3,2,16,North-West,Concierge; Security; Elevator; Gym; Library; Garden,6,6,114342,3.43,Luxury,42.15,2025-05-18,306,Available,156,False,False,80000
PROP00083,Mumbai,Dadar,Villa,4166,50000000,12001,5,3,11,South-East,Library; Gym; Garden,3,8,131127,3.15,Luxury,40.74,2024-12-14,320,Available,101,True,True,100000
PROP00084,Pune,Magarpatta,Independent House,3784,15000000,3964,4,2,6,North-West,AC; Library; Gym; Concierge; Elevator; Pool; Parking,7,8,41223,3.3,Premium,41.49,2024-12-03,84,Available,111,False,False,0
PROP00085,Hyderabad,Kondapur,Penthouse,7012,12000000,1711,6,4,15,South-West,Playground; Elevator; Pool,3,8,45935,4.59,Premium,47.97,2024-06-09,136,Sold,151,True,True,0
PROP00086,Bangalore,Marathahalli,Penthouse,9345,30000000,3210,5,2,26,East,Garden; Gym; Pool; Concierge; AC; Elevator; Parking; Library,8,7,85194,3.41,Luxury,42.04,2024-12-17,362,Sold,45,True,True,0
PROP00087,Chennai,Thiruvanmiyur,Penthouse,6086,10000000,1643,5,2,14,West,Playground; AC; Elevator; Concierge; Library; Parking; Garden,7,6,29650,3.56,Premium,42.79,2025-07-13,361,Available,103,True,False,0
PROP00088,Pune,Magarpatta,Penthouse,9515,15000000,1576,6,4,9,South-West,Elevator; AC; Library,3,6,61365,4.91,Premium,49.55,2025-12-16,178,Available,50,False,False,0
PROP00089,Bangalore,Koramangala,Penthouse,5221,30000000,5746,6,4,4,North,Elevator; Garden; AC,3,4,101552,4.06,Luxury,45.31,2024-07-30,170,Available,135,False,True,60000
PROP00090,Mumbai,Borivali,Villa,5333,50000000,9375,6,4,20,North,Security; Playground; Elevator; AC,4,9,132455,3.18,Luxury,40.89,2024-10-04,90,Available,39,False,True,100000
PROP00091,Pune,Viman Nagar,Villa,4371,15000000,3431,3,1,9,East,Elevator; Pool; Playground; Parking; Garden; Security; Concierge,7,6,49200,3.94,Premium,44.68,2025-10-29,235,Sold,71,False,True,30000
PROP00092,Chennai,Besant Nagar,Independent House,3825,10000000,2614,3,1,19,North-West,Library; Elevator; Playground; Gym; Garden; AC; Pool; Security,8,7,29134,3.5,Premium,42.48,2025-08-20,169,Available,98,False,True,0
PROP00093,Chennai,Besant Nagar,Villa,2508,10000000,3987,3,2,9,South,Library; AC; Security; Playground,4,5,40677,4.88,Premium,49.41,2025-05-03,245,Sold,64,True,False,0
PROP00094,Pune,Kondhwa,Penthouse,6857,15000000,2187,6,3,24,South-East,Elevator; Pool; Concierge; Security,4,8,51604,4.13,Premium,45.64,2026-03-12,294,Sold,81,True,True,0
PROP00095,Hyderabad,Banjara Hills,Apartment,1241,12000000,9669,4,2,28,North,Concierge; Gym; Elevator; Pool; Security; Garden; Playground,7,7,43455,4.35,Premium,46.73,2025-07-03,2,Sold,95,True,True,24000
PROP00096,Pune,Magarpatta,Apartment,2616,15000000,5733,1,1,29,South-East,Gym; Security; Library; Pool; Concierge; Garden,6,9,47061,3.76,Premium,43.82,2025-04-23,69,Available,168,False,True,30000
PROP00097,Hyderabad,Banjara Hills,Penthouse,4043,12000000,2968,6,3,26,South-West,Gym; Security; Concierge,3,5,46467,4.65,Premium,48.23,2025-09-03,97,Available,100,True,True,0
PROP00098,Hyderabad,Jubilee Hills,Villa,3688,12000000,3253,3,1,19,North,Concierge; Gym; Garden,3,10,34686,3.47,Premium,42.34,2025-10-04,72,Sold,44,False,True,0
PROP00099,Hyderabad,Kondapur,Independent House,2470,12000000,4858,4,2,21,South-West,Garden; Library; Security; Parking; Gym; Concierge; Pool,7,9,30937,3.09,Premium,40.47,2025-05-27,269,Rented,127,False,False,0
PROP00100,Bangalore,Indiranagar,Studio,344,30000000,87209,1,1,27,South-West,Security; Parking; Concierge; Gym,4,6,102864,4.11,Luxury,45.57,2025-12-28,170,Available,82,True,False,0
PROP00101,Mumbai,Borivali,Villa,2422,50000000,20644,5,3,21,North-West,Elevator; Gym; Pool; Concierge; Security; Playground; Library,7,4,200586,4.81,Luxury,49.07,2025-07-08,98,Rented,84,True,False,100000
PROP00102,Chennai,Kilpauk,Villa,5249,10000000,1905,4,3,24,South-East,Library; Concierge; Playground; Parking; Elevator,5,9,33287,3.99,Premium,44.97,2026-02-03,164,Sold,150,True,False,0
PROP00103,Pune,Baner,Penthouse,4812,15000000,3117,6,3,0,South-East,AC; Library; Security; Pool; Elevator,5,9,51744,4.14,Premium,45.7,2025-09-05,132,Available,116,False,False,0
PROP00104,Bangalore,HSR Layout,Independent House,2193,30000000,13679,3,2,5,South-West,Gym; AC; Elevator; Library; Concierge; Playground; Security,7,4,106535,4.26,Luxury,46.31,2026-03-06,259,Sold,85,False,False,60000
PROP00105,Hyderabad,Gachibowli,Penthouse,6958,12000000,1724,6,4,0,North,AC; Elevator; Library,3,4,44443,4.44,Premium,47.22,2024-11-12,358,Rented,158,False,True,24000
PROP00106,Mumbai,Borivali,Villa,3974,50000000,12581,4,3,26,North-West,Security; Library; Pool; Parking; Garden,5,10,207519,4.98,Luxury,49.9,2025-09-25,335,Available,50,True,True,0
PROP00107,Pune,Viman Nagar,Penthouse,6899,15000000,2174,4,2,22,South-East,Pool; Concierge; Library; Playground,4,4,58949,4.72,Premium,48.58,2026-02-06,109,Rented,88,False,False,30000
PROP00108,Mumbai,Navi Mumbai,Independent House,3724,50000000,13426,2,1,29,South-West,Gym; Garden; Parking; Library; Playground,5,10,149939,3.6,Luxury,42.99,2024-10-14,347,Available,129,False,False,100000
PROP00109,Chennai,T Nagar,Apartment,2451,10000000,4079,3,1,3,South-West,Garden; Pool; Playground; Security; Library; Concierge,6,7,30439,3.65,Premium,43.26,2024-08-03,117,Available,155,False,False,0
PROP00110,Bangalore,HSR Layout,Penthouse,8412,30000000,3566,5,2,24,East,Security; Garden; Pool; Gym; Parking; Concierge; AC,7,6,90833,3.63,Luxury,43.17,2026-01-25,185,Available,143,False,True,60000
PROP00111,Mumbai,Bandra,Studio,479,50000000,104384,1,1,0,South-East,Playground; AC; Pool,3,4,126028,3.02,Luxury,40.12,2025-03-17,125,Available,173,True,False,100000
PROP00112,Bangalore,Indiranagar,Independent House,2599,30000000,11542,5,2,2,North-West,Library; Security; Elevator; Parking,4,7,93056,3.72,Luxury,43.61,2025-09-04,235,Sold,80,True,True,0
PROP00113,Mumbai,Dadar,Independent House,4947,50000000,10107,5,3,14,West,Library; Parking; Security; AC; Concierge,5,6,139803,3.36,Luxury,41.78,2025-04-02,295,Rented,155,True,False,0
PROP00114,Delhi,Dwarka,Independent House,1966,40000000,20345,3,1,21,North-West,Gym; Concierge; Garden; AC; Parking; Elevator; Library,7,9,120188,3.61,Luxury,43.03,2025-08-29,194,Sold,138,True,False,0
PROP00115,Hyderabad,Banjara Hills,Penthouse,7150,12000000,1678,6,4,17,South,Playground; AC; Pool,3,8,43152,4.32,Premium,46.58,2025-05-16,289,Available,41,False,False,0
PROP00116,Mumbai,South Mumbai,Apartment,1459,50000000,34270,2,1,14,North-West,Library; Concierge; Parking; AC; Gym,5,9,159664,3.83,Luxury,44.16,2026-02-16,179,Available,66,False,False,0
PROP00117,Bangalore,Marathahalli,Studio,428,30000000,70093,1,1,14,South,Concierge; Playground; Pool; Parking; Gym; AC; Security; Elevator,8,8,83217,3.33,Luxury,41.64,2025-09-07,170,Available,70,False,False,60000
PROP00118,Pune,Kondhwa,Villa,3526,15000000,4254,6,4,0,West,Elevator; Garden; Concierge; Security; AC; Playground; Gym; Parking,8,10,56308,4.5,Premium,47.52,2026-03-11,96,Available,167,False,False,30000
PROP00119,Pune,Baner,Independent House,4247,15000000,3531,5,3,19,East,Elevator; Library; Pool; Parking; AC; Garden,6,8,55149,4.41,Premium,47.06,2025-07-14,345,Rented,51,True,False,30000
PROP00120,Bangalore,Indiranagar,Apartment,1149,30000000,26109,3,1,16,East,Library; Parking; Elevator; Garden; Pool; Concierge,6,10,99482,3.98,Luxury,44.9,2025-12-22,318,Available,145,True,False,60000
PROP00121,Pune,Hinjewadi,Villa,5145,15000000,2915,6,4,21,North,Library; Concierge; AC; Pool; Gym; Security,6,8,43013,3.44,Premium,42.21,2026-04-11,87,Available,103,False,False,30000
PROP00122,Hyderabad,Jubilee Hills,Independent House,4674,12000000,2567,4,2,24,North-West,Concierge; AC; Garden; Elevator; Gym; Pool; Parking; Playground,8,4,47243,4.72,Premium,48.62,2026-02-14,108,Available,90,False,False,24000
PROP00123,Hyderabad,Madhapur,Villa,3695,12000000,3247,3,2,17,North-East,Elevator; AC; Parking; Concierge; Playground,5,9,35346,3.53,Premium,42.67,2024-12-04,70,Rented,54,False,True,0
PROP00124,Chennai,Velachery,Villa,4045,10000000,2472,4,3,26,North-East,Library; Concierge; Parking; Security,4,10,31252,3.75,Premium,43.75,2026-02-26,207,Sold,53,False,False,0
PROP00125,Pune,Magarpatta,Penthouse,3020,15000000,4966,6,3,23,North-West,Playground; Pool; Library; AC; Garden; Concierge,6,5,58208,4.66,Premium,48.28,2025-06-03,249,Available,174,False,True,30000
PROP00126,Mumbai,Navi Mumbai,Studio,258,43113726,167107,0,1,14,East,Gym; Library; Garden; Playground; Pool; Parking,6,6,170773,4.75,Luxury,48.77,2026-02-08,191,Sold,51,True,True,0
PROP00127,Chennai,Besant Nagar,Villa,5516,10000000,1812,3,1,0,West,Concierge; Pool; Parking; Security,4,10,32417,3.89,Premium,44.45,2026-05-06,217,Sold,60,True,False,20000
PROP00128,Bangalore,Jayanagar,Apartment,819,30000000,36630,1,2,11,East,Parking; Library; Elevator; Playground; AC,5,7,103164,4.13,Luxury,45.63,2024-08-28,110,Sold,119,True,False,0
PROP00129,Bangalore,Whitefield,Apartment,973,30000000,30832,1,2,11,West,Playground; Parking; Garden; AC; Elevator; Gym,6,9,105000,4.2,Luxury,46.0,2024-08-30,338,Available,36,False,True,60000
PROP00130,Chennai,Thiruvanmiyur,Independent House,4146,10000000,2411,2,1,15,North,Pool; Garden; Concierge; Playground; Security; Gym,6,10,40565,4.87,Premium,49.34,2025-12-30,216,Available,175,False,True,0
PROP00131,Mumbai,South Mumbai,Penthouse,3553,50000000,14072,4,3,6,South-West,Gym; Library; Security,3,8,158523,3.8,Luxury,44.02,2024-07-28,143,Available,69,True,False,100000
